,air_temp_min,air_temp_max,air_temp_current,snow_height,new_snow_height,wind_speed,wind_gust,hazard,avalanche_occured,obs_location_Mt Roberts Tram,obs_location_Mt Roberts Tram Combo Obs,obs_location_Other,obs_location_SS Creek DOT,obs_location_Snettisham Combo Obs,obs_location_Snettisham Dorm,obs_location_Speel Arm Balcony,obs_location_Thane Road Combo Obs,wind_direction_ESE,wind_direction_N,wind_direction_NNE,wind_direction_NNW,wind_direction_Other,wind_direction_SE,sky_cover_BKN,sky_cover_CLR,sky_cover_FEW,sky_cover_OVC,sky_cover_SCT,sky_cover_X,precip_type_GR,precip_type_NO,precip_type_RA,precip_type_RS,precip_type_SN,precip_type_ZR
95,1.8,6.3,2.8,59.0,0.0,2.4,11.5,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
96,0.0,3.8,0.3,106.4,0.0,0.0,1.5,2.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
97,-0.1,4.1,-0.1,45.0,0.0,1.4,10.4,2.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
98,1.2,7.6,1.8,0.0,0.0,1.9,11.4,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
99,0.9,8.4,0.9,50.0,0.0,1.1,16.7,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
100,-0.6,1.2,1.2,105.1,0.0,0.1,0.6,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
101,-0.6,1.7,1.7,45.0,0.0,0.9,4.5,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
102,-1.9,1.6,-1.5,0.0,0.0,0.0,2.8,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
103,-1.4,3.2,-1.4,49.0,0.0,2.1,5.8,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
104,0.1,4.3,2.4,103.0,0.0,0.3,1.3,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
105,0.0,4.5,3.7,45.0,0.0,0.5,3.6,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
106,-1.8,1.9,1.9,0.0,0.0,2.5,3.6,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
107,-2.0,1.0,0.6,49.0,0.0,1.4,5.3,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
108,-0.5,3.6,0.4,122.0,16.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
109,-1.0,3.1,0.4,61.0,13.0,1.3,6.3,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
110,0.6,1.4,0.7,53.0,6.0,0.0,4.0,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
111,0.3,1.3,0.8,117.6,2.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
112,0.1,1.1,0.6,59.0,3.0,1.6,6.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
113,2.5,5.1,2.7,0.0,0.0,0.8,5.5,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
114,0.7,1.3,0.9,53.0,2.0,0.0,3.5,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
115,-13.3,0.7,-13.3,115.6,0.0,1.0,4.7,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
116,-13.4,0.6,-13.4,57.0,0.0,7.1,13.9,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
117,-8.0,5.1,-8.0,0.0,0.0,3.9,19.7,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
118,-7.4,3.1,-7.4,52.3,0.0,6.7,17.4,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
119,-18.6,-13.3,-17.7,113.8,0.0,1.3,4.3,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
120,-19.4,-13.4,-18.4,55.0,0.0,5.0,12.7,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
121,-13.5,-8.3,-12.5,0.0,0.0,3.1,16.1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
122,-13.5,-7.5,-12.9,52.0,0.0,3.9,17.1,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
123,-17.8,-13.6,-13.6,115.6,0.0,0.3,4.1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
124,-18.4,-14.0,-14.0,55.0,0.0,4.3,10.7,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
125,-12.7,-8.8,-10.5,0.0,0.0,0.3,10.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
126,-12.9,-9.6,-12.3,51.8,0.0,6.2,16.8,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
127,-14.4,-9.5,-9.5,114.7,0.0,0.0,1.7,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
128,-14.4,-9.8,-9.8,55.0,0.0,0.6,8.5,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
129,-10.4,-5.5,-7.1,0.0,0.0,0.8,5.5,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
130,-13.3,-9.1,-11.5,52.0,0.0,1.5,8.8,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
131,-10.0,-4.4,-4.4,110.4,0.1,0.1,0.6,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
132,-10.4,-3.9,-5.5,57.0,0.1,1.6,4.8,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
133,-7.8,-5.0,-6.4,0.0,0.1,0.6,2.5,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
134,-11.2,-8.1,-10.8,51.4,0.1,1.7,7.4,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
135,-5.9,-3.2,-3.2,113.0,7.0,0.3,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
